method,seed,learning_rate,weight_decay,strength,epochs,train_nll,validation_nll,validation_nll_auc,test_nll,test_accuracy,test_brier,corrupted_accuracy,boundary_ratio,balance_ratio,path_diamond_ratio,wall_seconds,candidate_index
matched_spectrum_sobolev,1,0.15,0.0001,2.0,70,0.1840301689686507,0.22231268908276933,0.7288477633235683,0.20692423029459028,0.9416666666666667,0.09030626631424486,0.9166666666666666,1.0269397843140222,0.058615422103308064,0.11276718198593143,0.303142877000937,1
matched_spectrum_sobolev,2,0.15,0.0001,2.0,70,0.19242658099693605,0.24316669189639276,0.7383597330759311,0.23577309362456558,0.9388888888888889,0.1077586988206313,0.9,1.0532101695904268,0.06239812094817097,0.11125474492220412,0.3231419879994064,1
matched_spectrum_sobolev,0,0.3,0.0001,0.5,70,0.05826729786870542,0.16334288496140972,0.4227056326975175,0.11645045750950402,0.975,0.04179077863054532,0.9527777777777777,1.0733915771457643,0.05672291590006183,0.1089666470818097,0.30501477800135035,2
matched_spectrum_sobolev,1,0.3,0.0001,0.5,70,0.07871708903548594,0.15131036798492706,0.481018133468695,0.13870261422195565,0.9638888888888889,0.05463194955310824,0.9416666666666667,1.0259184971123583,0.05622957598739326,0.12258984006058629,0.3024677250032255,2
matched_spectrum_sobolev,2,0.3,0.0001,0.5,70,0.07886948823037344,0.15995166132359692,0.4935766216231184,0.14471147114265104,0.9638888888888889,0.057977568647780565,0.9361111111111111,1.0390103044179275,0.06074104730194051,0.12184438857310737,0.3177793760005443,2
matched_spectrum_sobolev,0,0.3,0.0001,2.0,70,0.07414682209601432,0.17240171275878058,0.4625324788073539,0.12096607248485133,0.975,0.04527634869785179,0.95,1.0788291004803396,0.0578841764819997,0.1062124379750889,0.3147839369994472,3
matched_spectrum_sobolev,1,0.3,0.0001,2.0,70,0.09669726189174213,0.1545163385732653,0.5233461487562896,0.14222205370552377,0.9666666666666667,0.05951934970075247,0.9361111111111111,1.0135518366612495,0.06207409155926672,0.11613082062179567,0.3133679109996592,3
matched_spectrum_sobolev,2,0.3,0.0001,2.0,70,0.10040837513818066,0.17067573942854106,0.5410521445290287,0.16031765232223327,0.9638888888888889,0.0644230713244211,0.9333333333333333,1.054301178968392,0.06458007712695024,0.11481091791453667,0.30870515100104967,3
matched_spectrum_sobolev,0,0.45,0.0001,0.5,70,0.034756325353844604,0.15554240847417963,0.37032023977788064,0.1109678548729419,0.9777777777777777,0.037121664391682734,0.95,1.067683671777655,0.061875367975920643,0.11001824722311407,0.31221627299964894,4
matched_spectrum_sobolev,1,0.45,0.0001,0.5,70,0.04965552552092606,0.1509830196143232,0.4180800140892941,0.1333462035290476,0.9694444444444444,0.05066891643895981,0.9388888888888889,1.0186271544153216,0.06024069235753913,0.12508716541086667,0.29286991499975557,4
matched_spectrum_sobolev,2,0.45,0.0001,0.5,70,0.04544045112247318,0.15260880611334274,0.42033097494322164,0.13954151162787187,0.9583333333333334,0.05697434111274105,0.9388888888888889,1.0404223258232221,0.06627985195525285,0.1224019726807147,0.3063031499987119,4
matched_spectrum_sobolev,0,0.45,0.0001,2.0,70,0.04511130841712746,0.15972873700896578,0.40040118045640305,0.11145808105543599,0.975,0.03981300979513305,0.9583333333333334,1.074870439203043,0.06212312826026929,0.10699048049635758,0.34321453500160715,5
matched_spectrum_sobolev,1,0.45,0.0001,2.0,70,0.06282919717821557,0.1409338663131056,0.44320247973175075,0.12980610947466475,0.9638888888888889,0.05478314073293422,0.9416666666666667,1.0045726985597232,0.06645534047596924,0.1176659747154797,0.30499837000024854,5
matched_spectrum_sobolev,2,0.45,0.0001,2.0,70,0.06681067447369644,0.16053310115631797,0.46086681654680584,0.15165576682427329,0.9611111111111111,0.06063113673609851,0.9361111111111111,1.0536369992158487,0.06976759120205804,0.11584629022278077,0.30042946599860443,5
grid_sobolev,0,0.15,0.0001,0.5,70,0.1334389764194777,0.19834636284034876,0.5701342234337551,0.15949292643011337,0.9611111111111111,0.06719237880675216,0.9416666666666667,1.0619780323773735,0.058962996605289225,0.1056916565054703,0.08180453399836551,0
grid_sobolev,1,0.15,0.0001,0.5,70,0.15670967367398397,0.20381182683298732,0.6706364191808513,0.18826058758439715,0.9527777777777777,0.07837282979239255,0.925,1.0323937366732079,0.05684840028157727,0.11836157036965415,0.09055731600165018,0
grid_sobolev,2,0.15,0.0001,0.5,70,0.15276614538398756,0.2036860167003994,0.6628059821960254,0.18784083048513792,0.9583333333333334,0.08249954587159292,0.9222222222222223,1.025083999968855,0.06154829017170999,0.11665396860457133,0.10260617200037814,0
grid_sobolev,0,0.15,0.0001,2.0,70,0.18840950065957965,0.24532340140361805,0.6805970045480988,0.20454650659290888,0.95,0.08971506497483352,0.925,1.0349337139193813,0.06999900509658655,0.10241345899352569,0.07656833799774176,1
grid_sobolev,1,0.15,0.0001,2.0,70,0.22112683610134382,0.2603015414330949,0.7972579914007409,0.24897891459949587,0.9277777777777778,0.11027280231792409,0.9055555555555556,0.9985988769400725,0.0677338349355506,0.11398863550799278,0.08667034699828946,1
grid_sobolev,2,0.15,0.0001,2.0,70,0.23071161748185057,0.2716853875364501,0.8137464683044556,0.2632005130740861,0.925,0.11948436456463918,0.8944444444444445,0.9920033305022535,0.07350552381368296,0.11385846682956637,0.08412674200008041,1
grid_sobolev,0,0.3,0.0001,0.5,70,0.06364452504210649,0.16491323915721592,0.4273898596858296,0.11934744858854071,0.975,0.043969036524065544,0.95,1.0486227323446278,0.06478023261268313,0.1080977482149103,0.08493873000043095,2
grid_sobolev,1,0.3,0.0001,0.5,70,0.08294536504193724,0.16148823195373213,0.490939596050703,0.14682969506482457,0.9611111111111111,0.0554230934145223,0.9388888888888889,1.0137709170099893,0.060250489024516726,0.12330490176266755,0.09283687600327539,2
