seed,epoch,observer,component,base_loss,shadow_loss,loss_improvement,improvement_per_delta_norm,base_validation_loss,shadow_validation_loss,validation_loss_improvement,validation_improvement_per_delta_norm,component_norm,delta_norm
4111,20,random_14,null,0.6334765089923879,0.6333324602682256,0.00014404872416229342,0.07303420371514587,0.6768393196384844,0.6767160850923654,0.00012323454611906648,0.06248119862459283,0.07313641415223701,0.0019723460630052783
4111,20,random_15,visible,0.6334765089923879,0.6333562943188034,0.00012021467358458438,0.06095009179140317,0.6768393196384844,0.6767209174238905,0.00011840221459391564,0.06003115620263176,0.061030822986911176,0.0019723460630052783
4111,20,random_15,null,0.6334765089923879,0.6333344102641902,0.00014209872819770375,0.072045535447865,0.6768393196384844,0.6767259542280275,0.00011336541045692261,0.05747744403646229,0.07214918271129667,0.0019723460630052783
4111,30,dstm,visible,0.355237655402924,0.35516859950850993,6.905589441408289e-05,0.026564215581370978,0.42183439210324847,0.42178904089559704,4.5351207651422865e-05,0.01744556735018168,0.026626678035793418,0.002599583420882587
4111,30,dstm,null,0.355237655402924,0.3551309709547532,0.0001066844481708018,0.04103905545550112,0.42183439210324847,0.42174976423122107,8.462787202739852e-05,0.032554397503684045,0.04112282134737518,0.002599583420882587
4111,30,random_00,visible,0.355237655402924,0.3551556047295304,8.205067339361882e-05,0.03156300841684924,0.42183439210324847,0.42179070313090944,4.36889723390288e-05,0.01680614362596447,0.031635033635460275,0.002599583420882587
4111,30,random_00,null,0.355237655402924,0.3551405984185656,9.705698435841237e-05,0.03733559137927586,0.42183439210324847,0.42174608094248267,8.831116076579715e-05,0.03397127403428914,0.0374070991346995,0.002599583420882587
4111,30,random_01,visible,0.355237655402924,0.3551508774299857,8.677797293832334e-05,0.033381491911831505,0.42183439210324847,0.4217540829445048,8.03091587436855e-05,0.030893087753429225,0.03346527121500673,0.002599583420882587
4111,30,random_01,null,0.355237655402924,0.35514483546797776,9.281993494625329e-05,0.03570569584365941,0.42183439210324847,0.4217785426797331,5.584942351538613e-05,0.021483989729563918,0.035779072672387446,0.002599583420882587
4111,30,random_02,visible,0.355237655402924,0.3551562649441274,8.139045879662632e-05,0.03130903903402853,0.42183439210324847,0.421771645958784,6.274614446444282e-05,0.024136999782503544,0.03137361521252863,0.002599583420882587
